food_code,name,basis_unit,per100_kcal,per100_protein_g,per100_fat_g,per100_carb_g,per100_sugar_g,source
R211-717134002-0000,새우류_대하_육_말린것_대표_평균,100g,400,62.40,3.50,15.60,,수산과학원
R211-717134001-0402,새우류_대하_육_생것_인천_평균,100g,82,18.10,0.60,0.10,0.10,수산과학원
R211-717154001-0008,새우류_마루자주새우_육_생것_대표_8월,100g,80,15.15,1.30,0.92,,수산과학원
R211-717154001-1678,새우류_마루자주새우_육_생것_동해EEZ_2월,100g,93,19.29,0.69,1.13,,수산과학원
R211-717174001-0000,새우류_물렁가시붉은새우_육_생것_대표_평균,100g,83,18.00,0.50,0.60,0.60,수산과학원
R211-717194046-0000,새우류_보리새우_육_삶은것_대표_평균,100g,129,28.20,0.50,0.00,,수산과학원
R211-717194001-1050,새우류_보리새우_육_생것_창원_11월,100g,71,15.10,0.70,0.10,0.10,수산과학원
R211-717214001-1200,새우류_부채새우_육_생것_부산_5월,100g,65,13.70,0.80,0.00,0.00,수산과학원
R211-717234001-1269,새우류_북쪽분홍새우_육_생것_강릉_9월,100g,100,18.50,0.90,0.90,0.90,수산과학원
R211-717254601-0000,새우류_새우_껍질_생것_대표_평균,100g,323,44.00,11.90,6.10,,수산과학원
R211-717254093-0000,새우류_새우_육_말린것을 볶은것_대표_평균,100g,380,23.40,13.40,28.50,,수산과학원
R211-717254071-0000,새우류_새우_육_젓갈_대표_평균,100g,44,8.09,0.32,1.20,0.00,수산과학원
R211-717254055-0000,"새우류_새우_육_튀긴것(튀김옷, 수분많은 반죽)_대표_평균",100g,263,6.43,13.53,28.84,0.99,수산과학원
R211-717424001-6767,새우류_적새우_육_생것_수입_평균,100g,88,19.54,0.64,0.00,,수산과학원
R211-717274001-0337,새우류_젓새우_육_생것_목포_평균,100g,62,9.60,1.20,2.60,2.60,수산과학원
R211-717274071-0000,새우류_젓새우_육_젓갈_대표_평균,100g,55,10.40,0.90,0.70,0.70,수산과학원
R211-717274060-0000,새우류_젓새우_육_조린것_대표_평균,100g,255,19.10,1.80,35.10,,수산과학원
R211-717273971-0000-DUP1,새우류_젓새우_전체_젓갈(육젓)_대표_평균,100g,70,12.38,1.35,1.15,,수산과학원
R211-717273971-0000-DUP2,새우류_젓새우_전체_젓갈(추젓)_대표_평균,100g,60,10.42,0.91,1.76,,수산과학원
